"PUMA10","PUMA20","Percentage"
"00100","05901","78"
"00100","06501","22"
"00200","01702","40"
"00200","06501","60"
"00300","09200","100"
"00400","01701","56"
"00400","01702","44"
"00500","09000","71"
"00500","09300","29"
"00600","00301","48"
"00600","04301","52"
"00703","03903","100"
"00704","03904","100"
"00705","03905","100"
"00800","09100","100"
"00901","02901","100"
"00902","02902","100"
"01000","01900","100"
"01103","04703","100"
"01104","04704","100"
"01105","04705","100"
"01200","07100","55"
"01200","09300","45"
"01301","05101","100"
"01302","05102","100"
"01303","05103","100"
"01305","05105","100"
"01314","05114","100"
"01316","05116","100"
"01317","00501","16"
"01317","00502","3"
"01317","00503","81"
"01318","00501","47"
"01318","00502","53"
"01319","00503","12"
"01319","00504","88"
"01320","06720","100"
"01321","06721","100"
"01322","06722","100"
"01323","06723","100"
"01324","06724","100"
