"BLOCK","BG","PUMA","REGION"
410390038023006,410390038023,703,16
410110005023015,410110005023,800,4
410110005032003,410110005032,800,4
410170013022012,410170013022,400,18
410110005021017,410110005021,800,4
410110005021024,410110005021,800,4
410079511003065,410079511003,500,5
410030011022022,410030011022,600,11
410030011022029,410030011022,600,11
410030011022030,410030011022,600,11
410030011024001,410030011024,600,11
410030009002020,410030009002,600,11
410030011011016,410030011011,600,11
410030011012005,410030011012,600,11
410030011024011,410030011024,600,11
410030011024012,410030011024,600,11
410030011024014,410030011024,600,11
410030011024017,410030011024,600,11
410030011013001,410030011013,600,11
410030011013002,410030011013,600,11
410030011013003,410030011013,600,11
410030011013007,410030011013,600,11
410030011014004,410030011014,600,11
410030011014005,410030011014,600,11
410030011014007,410030011014,600,11
410030011014008,410030011014,600,11
410030106021005,410030106021,600,11
410030106021006,410030106021,600,11
410030106022020,410030106022,600,11
410030106022021,410030106022,600,11
410030107021000,410030107021,600,11
410030107022006,410030107022,600,11
410030107022007,410030107022,600,11
410030107022008,410030107022,600,11
410290025002198,410290025002,902,28
410319603041034,410319603041,200,3
410290019001019,410290019001,902,28
410290019002008,410290019002,902,28
410290019002009,410290019002,902,28
410359720003032,410359720003,300,19
410390038021008,410390038021,703,16
410390038021009,410390038021,703,16
410390038023011,410390038023,703,16
410390038023014,410390038023,703,16
410390037001025,410390037001,703,16
410390049002016,410390049002,703,16
410390037002000,410390037002,703,16
410390037002004,410390037002,703,16
410390037002006,410390037002,703,16
410390037002008,410390037002,703,16
410390048001000,410390048001,703,16
410390048001001,410390048001,703,16
410390048001002,410390048001,703,16
410390049002018,410390049002,703,16
410390049002019,410390049002,703,16
410390049002023,410390049002,703,16
410419517001024,410419517001,500,5
410390048001018,410390048001,703,16
410390038013006,410390038013,703,16
410390038022000,410390038022,703,16
410530203031033,410530203031,1200,23
410530203031034,410530203031,1200,23
410530203031035,410530203031,1200,23
410530203041017,410530203041,1200,23
410510056021002,410510056021,1314,2
410470017021000,410470017021,1103,24
410510056022006,410510056022,1314,2
410510056022009,410510056022,1314,2
410510056023004,410510056023,1314,2
410510063001026,410510063001,1314,2
410510003012007,410510003012,1303,30
410510003012020,410510003012,1303,30
410510003012033,410510003012,1303,30
410510063002018,410510063002,1314,2
410510040021021,410510040021,1301,13
410510029031002,410510029031,1302,14
410510029031007,410510029031,1302,14
410510003012011,410510003012,1303,30
410510040021035,410510040021,1301,13
410470104005042,410470104005,1105,21
410470018032007,410470018032,1104,9
410470018032038,410470018032,1104,9
410510016014011,410510016014,1305,29
410510016014012,410510016014,1305,29
410510016014014,410510016014,1305,29
410510049011010,410510049011,1314,2
410470009003006,410470009003,1104,9
410470009004007,410470009004,1104,9
410510016014021,410510016014,1305,29
410470027013021,410470027013,1105,21
410470027013025,410470027013,1105,21
410510017021017,410510017021,1302,14
410510017021018,410510017021,1302,14
410510040024041,410510040024,1301,13
410510040024043,410510040024,1301,13
410459703002024,410459703002,300,19
410510032001006,410510032001,1301,13
410470002003035,410470002003,1104,9
410470002003054,410470002003,1104,9
410510082011021,410510082011,1302,14
410459707001080,410459707001,300,19
410670304021001,410670304021,1324,15
410699601002182,410699601002,200,3
410699601002194,410699601002,200,3
410710308022000,410710308022,1200,23
410710308022002,410710308022,1200,23
410710308022003,410710308022,1200,23
410710308022005,410710308022,1200,23
410710308022009,410710308022,1200,23
410710308022012,410710308022,1200,23
410710308022025,410710308022,1200,23
410710308022026,410710308022,1200,23
410619707002014,410619707002,100,17
410710302013001,410710302013,1200,23
410710302014005,410710302014,1200,23
410710302014006,410710302014,1200,23
410710302014007,410710302014,1200,23
410710302014009,410710302014,1200,23
410710302014010,410710302014,1200,23
410710302014013,410710302014,1200,23
410670332021001,410670332021,1321,27
410670332021005,410670332021,1321,27
410110005021016,410110005021,800,4
410110005032004,410110005032,800,4
410170014012036,410170014012,400,18
410030011022018,410030011022,600,11
410030011022031,410030011022,600,11
410030011024013,410030011024,600,11
410379601001417,410379601001,300,19
410030011013008,410030011013,600,11
410030011014003,410030011014,600,11
410030106022006,410030106022,600,11
410030106022013,410030106022,600,11
410030107021014,410030107021,600,11
410290019001000,410290019001,902,28
410030107022009,410030107022,600,11
410390038021015,410390038021,703,16
410390038013007,410390038013,703,16
410510036021022,410510036021,1301,13
410510036022001,410510036022,1301,13
410470027013015,410470027013,1105,21
410510056022004,410510056022,1314,2
410510056023000,410510056023,1314,2
410470002003055,410470002003,1104,9
410510040021020,410510040021,1301,13
410510040021036,410510040021,1301,13
410710302014077,410710302014,1200,23
410710302014004,410710302014,1200,23
410710302014008,410710302014,1200,23
410710302014011,410710302014,1200,23
410710308021018,410710308021,1200,23
410710308022024,410710308022,1200,23
