NAME,GEOGRAPHY,CONTROL,SUMMARY
HH,BLOCK,num_hh_control,num_hh_result
HHSF,BG,hh_by_type_sf_control,hh_by_type_sf_result
HHSFA,BG,hh_by_type_sfa_control,hh_by_type_sfa_result
HHDUP,BG,hh_by_type_dup_control,hh_by_type_dup_result
HHMF4,BG,hh_by_type_mf4_control,hh_by_type_mf4_result
HHMF9,BG,hh_by_type_mf9_control,hh_by_type_mf9_result
HHMF19,BG,hh_by_type_mf19_control,hh_by_type_mf19_result
HHMF49,BG,hh_by_type_mf49_control,hh_by_type_mf49_result
HHMF50,BG,hh_by_type_mf50_control,hh_by_type_mf50_result
HHMH,BG,hh_by_type_mh_control,hh_by_type_mh_result
HHRV,BG,hh_by_type_rv_control,hh_by_type_rv_result
HHS1,BG,hh_size_1_control,hh_size_1_result
HHS2,BG,hh_size_2_control,hh_size_2_result
HHS3,BG,hh_size_3_control,hh_size_3_result
HHS4,BG,hh_size_4_control,hh_size_4_result
HHS5,BG,hh_size_5_control,hh_size_5_result
HHS6,BG,hh_size_6_control,hh_size_6_result
HHS7,BG,hh_size_7_control,hh_size_7_result
HHINC1,BG,hh_inc_1_control,hh_inc_1_result
HHINC2,BG,hh_inc_2_control,hh_inc_2_result
HHINC3,BG,hh_inc_3_control,hh_inc_3_result
HHINC4,BG,hh_inc_4_control,hh_inc_4_result
HHINC5,BG,hh_inc_5_control,hh_inc_5_result
HHINC6,BG,hh_inc_6_control,hh_inc_6_result
HHINC7,BG,hh_inc_7_control,hh_inc_7_result
HHINC8,BG,hh_inc_8_control,hh_inc_8_result
HHINC9,BG,hh_inc_9_control,hh_inc_9_result
HHKID,BG,hhkid_control,hhkid_result
HHV0,BG,hh_veh_0_control,hh_veh_0_result
HHV1,BG,hh_veh_1_control,hh_veh_1_result
HHV2,BG,hh_veh_2_control,hh_veh_2_result
HHV3,BG,hh_veh_3_control,hh_veh_3_result
HHV4,BG,hh_veh_4_control,hh_veh_4_result
HHV5,BG,hh_veh_5_control,hh_veh_5_result
AGE1,BG,hh_age_1_control,hh_age_1_result
AGE2,BG,hh_age_2_control,hh_age_2_result
AGE3,BG,hh_age_3_control,hh_age_3_result
AGE4,BG,hh_age_4_control,hh_age_4_result
AGE5,BG,hh_age_5_control,hh_age_5_result
AGE6,BG,hh_age_6_control,hh_age_6_result
AGE7,BG,hh_age_7_control,hh_age_7_result
AGE8,BG,hh_age_8_control,hh_age_8_result
AGE9,BG,hh_age_9_control,hh_age_9_result
AGE10,BG,hh_age_10_control,hh_age_10_result
AGE11,BG,hh_age_11_control,hh_age_11_result
AGE12,BG,hh_age_12_control,hh_age_12_result
OCCP_1,TRACT,persons_occ_1_control,persons_occ_1_result
OCCP_2,TRACT,persons_occ_2_control,persons_occ_2_result
OCCP_4,TRACT,persons_occ_4_control,persons_occ_4_result
OCCP_5,TRACT,persons_occ_5_control,persons_occ_5_result
OCCP_6,TRACT,persons_occ_6_control,persons_occ_6_result
W0,TRACT,hh_wrks_0_control,hh_wrks_0_result
W1,TRACT,hh_wrks_1_control,hh_wrks_1_result
W2,TRACT,hh_wrks_2_control,hh_wrks_2_result
W3,TRACT,hh_wrks_3_plus_control,hh_wrks_3_plus_result
